created_at,Text,full_text
Sun Mar 09 06:52:17 +0000 2025,,@ARSIPAJA Ini program makan siang gratis bukan makan bergizi gratis
Sun Mar 09 02:41:45 +0000 2025,,Anak sehat bangsa kuat! ️ Dukung program makan siang bergizi gratis dari pemerintah demi generasi emas Indonesia. #PenuhiGiziIndonesia #AnakSehatBangsaKuat https://t.co/tU8zC94GCK
Sun Mar 09 02:41:40 +0000 2025,,Tak ada anak yang boleh lapar! Bersama kita dukung makan siang bergizi gratis untuk masa depan yang lebih cerah. #PenuhiGiziIndonesia #DukungGiziSeimbang https://t.co/1QFODwXuPU
Sun Mar 09 02:41:36 +0000 2025,,Nutrisi cukup prestasi meningkat! Makan siang bergizi gratis adalah investasi bagi generasi penerus. Mari dukung bersama! #PenuhiGiziIndonesia #SehatDanCerdas https://t.co/9bjzJdaLiy
Sun Mar 09 02:41:27 +0000 2025,,Bersama wujudkan Indonesia bebas gizi buruk! Mari kita dukung program makan siang bergizi gratis agar semua anak tumbuh sehat dan cerdas. #PenuhiGiziIndonesia #AyoDukung https://t.co/G9rMCs41x1
Sat Mar 08 14:11:51 +0000 2025,,Untung ada makan siang gratis yang berganti makan bergizi gratis. @Gerindra @prabowo https://t.co/Otx4B6drOk
Sat Mar 08 11:51:25 +0000 2025,,It's crazy Semua anggaran kementerian lembaga dll udah dipangkas habis-habisan demi makan bergizi gratis
Sat Mar 08 07:55:38 +0000 2025,,Najis ah. Makanan begini gua bisa beli judulnya makan siang gratis tapi makan siang mana ada budgetnya sekecil ini? Mending makan makanan emaknya wehhhhhhh lebih bergizi!!!!!
Sat Mar 08 07:24:31 +0000 2025,,@ARSIPAJA Ini bukan makan siang bergizi gratis tapi jajanan gratis
Fri Mar 07 23:47:50 +0000 2025,,@chrpoer @LurahGaza Tapi program makan siang bergizi gratis di tentang. Gimana tuh?
Fri Mar 07 20:22:17 +0000 2025,,@WongAlasRoban @kangmastaufik Dana Non APBN dari NEGARA MITRA ini tanda tanya besar. Gak ada Makan Siang Gratis. Adanya Makan Bergizi Gratis di Negeri Doraemon.
Fri Mar 07 18:24:22 +0000 2025,,Last but not least makan siang gratis dari Pak Dibyo di misa jumper kmk lebih enak dan bergizi ketimbang punya rezim cakalangnya enak lagi tadi https://t.co/nabKTf9djm
Fri Mar 07 10:42:46 +0000 2025,,makan siang bergizi gratis pas bulan puasa isinya snack biskuit ama susu kotak mini??? makan siang loh bergizi loh... ??????? biar tahan lama ???????????????????????
Fri Mar 07 08:33:55 +0000 2025,,adikku dapat makan siang bergizi gratis tp buahnya dibawa ke rumah soalnya dia gasuka....
Fri Mar 07 05:59:49 +0000 2025,,*KEGIATAN POLRI MENDUKUNG PROGRAM PEMERINTAH MAKAN SIANG BERGIZI GRATIS DI LAKSANKAN OLEH POLRES SEKADAU* https://t.co/McrL7GmnB9
Fri Mar 07 05:46:51 +0000 2025,,Danramil 11/Mirit Kodim 0709/Kebumen Kapten Cba Ahmad Taufik Nur hadiri kegiatan peletakan batu pertama pembangunan Dapur Sehat mandiri untuk progam makan Siang Bergizi gratis. Bertempat di tempat Bapak Tutur Dukuh Tlogo pasar.jumat (07/03/2025) https://t.co/ZvcpkxUNzW
